,"{'Name': '', 'Gender': 'Male', 'Married': False, 'Profession': 'president', 'Alive': True, 'Nationality': 'Unknown', 'Children': False}"
Friedrich Nietzsche,"{'Name': 'Friedrich Nietzsche', 'Gender': 'Male', 'Age': '56', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1844', 'Nationality': 'German', 'Deathyear': '1900', 'Children': False}"
Reza Aslan,"{'Name': 'Reza Aslan', 'Gender': 'Male', 'Age': '42', 'Married': True, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1972', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Elizabeth Bishop,"{'Name': 'Elizabeth Bishop', 'Gender': 'Female', 'Age': '68', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1911', 'Nationality': 'American', 'Deathyear': '1979', 'Children': False}"
Raymond Lohier,"{'Name': 'Raymond Lohier', 'Gender': 'Male', 'Age': '49', 'Married': True, 'Profession': 'judge', 'Alive': True, 'Birthyear': '1965', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Antonio Amurri,"{'Name': 'Antonio Amurri', 'Gender': 'Male', 'Age': '67', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1925', 'Nationality': 'Unknown', 'Deathyear': '1992', 'Children': False}"
Hassan II of Morocco,"{'Name': 'Hassan II of Morocco', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1929', 'Nationality': 'Unknown', 'Deathyear': '1999', 'Children': False}"
Gustav von Kahr,"{'Name': 'Gustav von Kahr', 'Gender': 'Male', 'Age': '72', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1862', 'Nationality': 'German', 'Deathyear': '1934', 'Children': False}"
Philip Graves,"{'Name': 'Philip Graves', 'Gender': 'Male', 'Age': '77', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1876', 'Nationality': 'British, Irish', 'Deathyear': '1953', 'Children': False}"
Robert Burns,"{'Name': 'Robert Burns', 'Gender': 'Male', 'Age': '37', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1759', 'Nationality': 'Scottish', 'Deathyear': '1796', 'Children': False}"
Ann Richards,"{'Name': 'Ann Richards', 'Gender': 'Female', 'Age': '73', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1933', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': True}"
Eugene Bookhammer,"{'Name': 'Eugene Bookhammer', 'Gender': 'Male', 'Age': '95', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1918', 'Nationality': 'Unknown', 'Deathyear': '2013', 'Children': False}"
Chakravarti Rajagopalachari,"{'Name': 'Chakravarti Rajagopalachari', 'Gender': 'Male', 'Age': '94', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1878', 'Nationality': 'Unknown', 'Deathyear': '1972', 'Children': False}"
Alice Neel,"{'Name': 'Alice Neel', 'Gender': 'Female', 'Age': '84', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1900', 'Nationality': 'American', 'Deathyear': '1984', 'Children': False}"
Johannes Steinhoff,"{'Name': 'Johannes Steinhoff', 'Gender': 'Male', 'Age': '81', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1913', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': False}"
Motilal Nehru,"{'Name': 'Motilal Nehru', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1861', 'Nationality': 'Indian', 'Deathyear': '1931', 'Children': False}"
Freddie Gibbs,"{'Name': 'Freddie Gibbs', 'Gender': 'Male', 'Age': '32', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1982', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Bill Ratliff,"{'Name': 'Bill Ratliff', 'Gender': 'Male', 'Age': '78', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1936', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Ivy Dumont,"{'Name': 'Ivy Dumont', 'Gender': 'Female', 'Age': '84', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1930', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Helen Mirren,"{'Name': 'Helen Mirren', 'Gender': 'Female', 'Age': '69', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1945', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Lee Radziwill,"{'Name': 'Lee Radziwill', 'Gender': 'Female', 'Age': '81', 'Married': True, 'Profession': 'actress', 'Alive': True, 'Birthyear': '1933', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
John Cusack,"{'Name': 'John Cusack', 'Gender': 'Male', 'Age': '48', 'Married': False, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1966', 'Nationality': 'American', 'Deathyear': False, 'Children': False}"
Tariq Ramadan,"{'Name': 'Tariq Ramadan', 'Gender': 'Male', 'Age': '52', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1962', 'Nationality': 'Switzerland', 'Deathyear': False, 'Children': False}"
Abdul Ghafoor Breshna,"{'Name': 'Abdul Ghafoor Breshna', 'Gender': 'Male', 'Age': '67', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': '1907', 'Nationality': 'Afghan', 'Deathyear': '1974', 'Children': False}"
Akhlaqur Rahman Kidwai,"{'Name': 'Akhlaqur Rahman Kidwai', 'Gender': 'Male', 'Age': '94', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1920', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
John Marshall,"{'Name': 'John Marshall', 'Gender': 'Male', 'Age': '80', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1755', 'Nationality': 'Unknown', 'Deathyear': '1835', 'Children': True}"
Swami Vivekananda,"{'Name': 'Swami Vivekananda', 'Gender': 'Male', 'Age': '39', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1863', 'Nationality': 'Indian', 'Deathyear': '1902', 'Children': False}"
Jay Rock,"{'Name': 'Jay Rock', 'Gender': 'Male', 'Age': '28', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1986', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Rabi Ray,"{'Name': 'Rabi Ray', 'Gender': 'Male', 'Age': '88', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1926', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Pramod Mahajan,"{'Name': 'Pramod Mahajan', 'Gender': 'Male', 'Age': '57', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1949', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': True}"
Ludwig von Falkenhausen,"{'Name': 'Ludwig von Falkenhausen', 'Gender': 'Male', 'Age': '92', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1844', 'Nationality': 'Unknown', 'Deathyear': '1936', 'Children': False}"
Adolf Hitler,"{'Name': 'Adolf Hitler', 'Gender': 'Male', 'Age': '56', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1889', 'Nationality': '\n\n\nAustrian citizen until 7 April 1925[1]\nCitizen of Brunswick after 25 February 1932\nCitizen of the German Reich after 1934\n\n\n', 'Deathyear': '1945', 'Children': False}"
John Podesta,"{'Name': 'John Podesta', 'Gender': 'Male', 'Age': '65', 'Married': False, 'Profession': 'president', 'Alive': True, 'Birthyear': '1949', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Jawaharlal Nehru,"{'Name': 'Jawaharlal Nehru', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1889', 'Nationality': 'Unknown', 'Deathyear': '1964', 'Children': True}"
Clint Eastwood,"{'Name': 'Clint Eastwood', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1930', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Isaac Newton,"{'Name': 'Isaac Newton', 'Gender': 'Male', 'Age': '83', 'Married': False, 'Profession': 'mathematician', 'Alive': False, 'Birthyear': '1643', 'Nationality': 'English (later British)', 'Deathyear': '1726', 'Children': False}"
C-Rayz Walz,"{'Name': 'C-Rayz Walz', 'Gender': 'Male', 'Age': '39', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1975', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Prafullachandra Natwarlal Bhagwati,"{'Name': 'Prafullachandra Natwarlal Bhagwati', 'Gender': 'Male', 'Age': '93', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1921', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Douglas MacArthur,"{'Name': 'Douglas MacArthur', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1880', 'Nationality': 'Unknown', 'Deathyear': '1964', 'Children': False}"
Konstantin Fehrenbach,"{'Name': 'Konstantin Fehrenbach', 'Gender': 'Male', 'Age': '74', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1852', 'Nationality': 'Unknown', 'Deathyear': '1926', 'Children': False}"
Mohammad Ali Jinnah,"{'Name': 'Mohammad Ali Jinnah', 'Gender': 'Male', 'Age': '72', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1876', 'Nationality': 'Unknown', 'Deathyear': '1948', 'Children': True}"
Abdul Wali Khan,"{'Name': 'Abdul Wali Khan', 'Gender': 'Male', 'Age': '89', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1917', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': False}"
Pius VII,"{'Name': 'Pius VII', 'Gender': 'Male', 'Age': '81', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1742', 'Nationality': 'Unknown', 'Deathyear': '1823', 'Children': False}"
M. Lionel Bender,"{'Name': 'M. Lionel Bender', 'Gender': 'Male', 'Age': '74', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1934', 'Nationality': 'American', 'Deathyear': '2008', 'Children': False}"
Scott Disick,"{'Name': 'Scott Disick', 'Gender': 'Female', 'Age': '35', 'Married': False, 'Profession': 'model', 'Alive': True, 'Birthyear': '1979', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Chakravarthi Rajagopalachari,"{'Name': 'Chakravarthi Rajagopalachari', 'Gender': 'Male', 'Age': '94', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1878', 'Nationality': 'Unknown', 'Deathyear': '1972', 'Children': False}"
Jacqueline Kennedy Onassis,"{'Name': 'Jacqueline Kennedy Onassis', 'Gender': 'Male', 'Age': '65', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1929', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': True}"
Tom Foley,"{'Name': 'Tom Foley', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1929', 'Nationality': 'Unknown', 'Deathyear': '2013', 'Children': False}"
Mattie Hunter,"{'Name': 'Mattie Hunter', 'Gender': 'Female', 'Age': '60', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1954', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Vasili Vereshchagin,"{'Name': 'Vasili Vereshchagin', 'Gender': 'Male', 'Age': '62', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1842', 'Nationality': 'Russian', 'Deathyear': '1904', 'Children': False}"
Edda Mussolini,"{'Name': 'Edda Mussolini', 'Gender': 'Female', 'Age': '85', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1910', 'Nationality': 'Unknown', 'Deathyear': '1995', 'Children': False}"
Prince Leopold of Bavaria,"{'Name': 'Prince Leopold of Bavaria', 'Gender': 'Male', 'Age': '84', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1846', 'Nationality': 'Unknown', 'Deathyear': '1930', 'Children': False}"
Greg Daniels,"{'Name': 'Greg Daniels', 'Gender': 'Male', 'Age': '51', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1963', 'Nationality': 'American', 'Deathyear': False, 'Children': False}"
James Ole Kiyapi,"{'Name': 'James Ole Kiyapi', 'Gender': 'Male', 'Age': '53', 'Married': False, 'Profession': 'president', 'Alive': True, 'Birthyear': '1961', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
Simeon S. Willis,"{'Name': 'Simeon S. Willis', 'Gender': 'Male', 'Age': '86', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1879', 'Nationality': 'Unknown', 'Deathyear': '1965', 'Children': False}"
Rick Ross,"{'Name': 'Rick Ross', 'Gender': 'Male', 'Age': '38', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1976', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Barack Obama Jr.,"{'Name': 'Barack Obama Jr.', 'Gender': 'Male', 'Age': '53', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1961', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
The D.O.C.,"{'Name': 'The D.O.C.', 'Gender': 'Male', 'Age': '46', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1968', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Jan Smuts,"{'Name': 'Jan Smuts', 'Gender': 'Male', 'Age': '80', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1870', 'Nationality': 'South African', 'Deathyear': '1950', 'Children': True}"
Dawn Robinson,"{'Name': 'Dawn Robinson', 'Gender': 'Female', 'Age': '49', 'Married': False, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1965', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Quinn Martin,"{'Name': 'Quinn Martin', 'Gender': 'Male', 'Age': '65', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1922', 'Nationality': 'Unknown', 'Deathyear': '1987', 'Children': True}"
Shahrukh Khan,"{'Name': 'Shahrukh Khan', 'Gender': 'Male', 'Age': '49', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1965', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Chuck Philips,"{'Name': 'Chuck Philips', 'Gender': 'Male', 'Age': '62', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1952', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Jack Tramiel,"{'Name': 'Jack Tramiel', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1928', 'Nationality': 'Unknown', 'Deathyear': '2012', 'Children': True}"
Sherwood Boehlert,"{'Name': 'Sherwood Boehlert', 'Gender': 'Male', 'Age': '78', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1936', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Arthur Balfour,"{'Name': 'Arthur Balfour', 'Gender': 'Male', 'Age': '82', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1848', 'Nationality': 'Scottish', 'Deathyear': '1930', 'Children': False}"
George Bernard Shaw,"{'Name': 'George Bernard Shaw', 'Gender': 'Male', 'Age': '94', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1856', 'Nationality': 'Irish', 'Deathyear': '1950', 'Children': False}"
Jan Christiaan Smuts,"{'Name': 'Jan Christiaan Smuts', 'Gender': 'Male', 'Age': '80', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1870', 'Nationality': 'South African', 'Deathyear': '1950', 'Children': True}"
Benjamin Franklin,"{'Name': 'Benjamin Franklin', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': 'author', 'Alive': False, 'Birthyear': '1706', 'Nationality': 'American', 'Deathyear': '1790', 'Children': True}"
Wilhelm Groener,"{'Name': 'Wilhelm Groener', 'Gender': 'Male', 'Age': '72', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1867', 'Nationality': 'German', 'Deathyear': '1939', 'Children': False}"
Thornton Wilder,"{'Name': 'Thornton Wilder', 'Gender': 'Male', 'Age': '78', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1897', 'Nationality': 'Unknown', 'Deathyear': '1975', 'Children': False}"
P.A. Sangma,"{'Name': 'P.A. Sangma', 'Gender': 'Male', 'Age': '67', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1947', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Paul Giesler,"{'Name': 'Paul Giesler', 'Gender': 'Male', 'Age': '50', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1895', 'Nationality': 'German', 'Deathyear': '1945', 'Children': False}"
Allan Kaprow,"{'Name': 'Allan Kaprow', 'Gender': 'Male', 'Age': '79', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': '1927', 'Nationality': 'American', 'Deathyear': '2006', 'Children': False}"
George H. W. Bush,"{'Name': 'George H. W. Bush', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Brody Jenner,"{'Name': 'Brody Jenner', 'Gender': 'Male', 'Age': '31', 'Married': False, 'Profession': 'model', 'Alive': True, 'Birthyear': '1983', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Pharoahe Monch,"{'Name': 'Pharoahe Monch', 'Gender': 'Male', 'Age': '42', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1972', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Chris Brown,"{'Name': 'Chris Brown', 'Gender': 'Male', 'Age': '25', 'Married': False, 'Profession': 'dancer', 'Alive': True, 'Birthyear': '1989', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Aggrey Awori,"{'Name': 'Aggrey Awori', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1939', 'Nationality': 'Ugandan', 'Deathyear': False, 'Children': False}"
Mary Renault,"{'Name': 'Mary Renault', 'Gender': 'Female', 'Age': '78', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1905', 'Nationality': 'English', 'Deathyear': '1983', 'Children': False}"
N. Sanjiva Reddy,"{'Name': 'N. Sanjiva Reddy', 'Gender': 'Male', 'Age': '83', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1913', 'Nationality': 'Indian', 'Deathyear': '1996', 'Children': False}"
Eugen von Knilling,"{'Name': 'Eugen von Knilling', 'Gender': 'Male', 'Age': '71', 'Married': False, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1856', 'Nationality': 'German', 'Deathyear': '1927', 'Children': False}"
Colin Powell,"{'Name': 'Colin Powell', 'Gender': 'Male', 'Age': '77', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1937', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Robert E. Howard,"{'Name': 'Robert E. Howard', 'Gender': 'Male', 'Age': '30', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1906', 'Nationality': 'Unknown', 'Deathyear': '1936', 'Children': False}"
August von Mackensen,"{'Name': 'August von Mackensen', 'Gender': 'Male', 'Age': '96', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1849', 'Nationality': 'Unknown', 'Deathyear': '1945', 'Children': False}"
Lord Mountbatten,"{'Name': 'Lord Mountbatten', 'Gender': 'Male', 'Age': '79', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1900', 'Nationality': 'Unknown', 'Deathyear': '1979', 'Children': True}"
Walter Mondale,"{'Name': 'Walter Mondale', 'Gender': 'Male', 'Age': '86', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1928', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Tom Dolan,"{'Name': 'Tom Dolan', 'Gender': 'Male', 'Age': '39', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1975', 'Nationality': '&#160;United States', 'Deathyear': False, 'Children': False}"
Shade Sheist,"{'Name': 'Shade Sheist', 'Gender': 'Male', 'Age': '32', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1982', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Fardeen Khan,"{'Name': 'Fardeen Khan', 'Gender': 'Male', 'Age': '40', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1974', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Sonia Gandhi,"{'Name': 'Sonia Gandhi', 'Gender': 'Female', 'Age': '68', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1946', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Arun Shourie,"{'Name': 'Arun Shourie', 'Gender': 'Male', 'Age': '73', 'Married': True, 'Profession': 'author', 'Alive': True, 'Birthyear': '1941', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Christopher Obure,"{'Name': 'Christopher Obure', 'Gender': 'Male', 'Age': '71', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1943', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
L. Sprague de Camp,"{'Name': 'L. Sprague de Camp', 'Gender': 'Male', 'Age': '93', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1907', 'Nationality': 'American', 'Deathyear': '2000', 'Children': False}"
Raila Odinga,"{'Name': 'Raila Odinga', 'Gender': 'Male', 'Age': '69', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1945', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
Sanjay Khan,"{'Name': 'Sanjay Khan', 'Gender': 'Male', 'Age': '73', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1941', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Jhene Aiko,"{'Name': 'Jhene Aiko', 'Gender': 'Female', 'Age': '26', 'Married': False, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1988', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
James Barry Munnik Hertzog,"{'Name': 'James Barry Munnik Hertzog', 'Gender': 'Male', 'Age': '76', 'Married': True, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1866', 'Nationality': 'Unknown', 'Deathyear': '1942', 'Children': True}"
John McKinly,"{'Name': 'John McKinly', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1721', 'Nationality': 'Unknown', 'Deathyear': '1796', 'Children': False}"
Martin Lings,"{'Name': 'Martin Lings', 'Gender': 'Male', 'Age': '96', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1909', 'Nationality': 'British', 'Deathyear': '2005', 'Children': False}"
Mona Simpson,"{'Name': 'Mona Simpson', 'Gender': 'Female', 'Age': '57', 'Married': False, 'Profession': 'author', 'Alive': True, 'Birthyear': '1957', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Madhu Dandavate,"{'Name': 'Madhu Dandavate', 'Gender': 'Male', 'Age': '81', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': '2005', 'Children': False}"
Pope Pius X,"{'Name': 'Pope Pius X', 'Gender': 'Male', 'Age': '79', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1835', 'Nationality': 'Unknown', 'Deathyear': '1914', 'Children': False}"
Siegfried Sassoon,"{'Name': 'Siegfried Sassoon', 'Gender': 'Male', 'Age': '81', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1886', 'Nationality': 'British', 'Deathyear': '1967', 'Children': False}"
Clifford Darling,"{'Name': 'Clifford Darling', 'Gender': 'Male', 'Age': '89', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1922', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': True}"
Joachim von Ribbentrop,"{'Name': 'Joachim von Ribbentrop', 'Gender': 'Male', 'Age': '53', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1893', 'Nationality': 'Unknown', 'Deathyear': '1946', 'Children': True}"
Ruth Ann Minner,"{'Name': 'Ruth Ann Minner', 'Gender': 'Female', 'Age': '79', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1935', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Kourtney Kardashian,"{'Name': 'Kourtney Kardashian', 'Gender': 'Female', 'Age': '35', 'Married': False, 'Profession': 'model', 'Alive': True, 'Birthyear': '1979', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Marco Polo,"{'Name': 'Marco Polo', 'Gender': 'Male', 'Age': '70', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1254', 'Nationality': 'Venetian', 'Deathyear': '1324', 'Children': True}"
George H.W. Bush,"{'Name': 'George H.W. Bush', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Mike Mansfield,"{'Name': 'Mike Mansfield', 'Gender': 'Male', 'Age': '98', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1903', 'Nationality': 'American', 'Deathyear': '2001', 'Children': True}"
Wilhelm Cuno,"{'Name': 'Wilhelm Cuno', 'Gender': 'Male', 'Age': '57', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1876', 'Nationality': 'Unknown', 'Deathyear': '1933', 'Children': False}"
John Warner,"{'Name': 'John Warner', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1927', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Theodor Mommsen,"{'Name': 'Theodor Mommsen', 'Gender': 'Male', 'Age': '86', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1817', 'Nationality': 'German', 'Deathyear': '1903', 'Children': False}"
Shukran Hussein Gure,"{'Name': 'Shukran Hussein Gure', 'Gender': 'Female', 'Age': '36', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1978', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Philip Sidney,"{'Name': 'Philip Sidney', 'Gender': 'Male', 'Age': '32', 'Married': True, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1554', 'Nationality': 'Unknown', 'Deathyear': '1586', 'Children': False}"
Madelyn Dunham,"{'Name': 'Madelyn Dunham', 'Gender': 'Female', 'Age': '86', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1922', 'Nationality': 'Unknown', 'Deathyear': '2008', 'Children': True}"
Ed Markey,"{'Name': 'Ed Markey', 'Gender': 'Male', 'Age': '68', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1946', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Jerry Brown,"{'Name': 'Jerry Brown', 'Gender': 'Male', 'Age': '76', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1938', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
